DROGA ;MARCA ;PRESENTACION;LABORATORIO;COBERTURA;COPAGO
betametasona;VITACORTIL B;susp.oral x 30 ml;Biosintex;50%;$ 2647
betametasona (acet.y fosf.disod);BETASONE G RETARD;a.x 1;Klonal;50%;$ 5323.67
betametasona (acet.y fosf.disod);BUTASONA FABRA RL;a.x 1 + jga.desc.;Fabra;50%;$ 6023.23
betametasona (acet.y fosf.disod);DEPOCORT RETARD;f.a.x 1 x 2 ml;Roemmers;50%;$ 6089.58
betametasona (acet.y fosf.disod);CELESTONE CRONODOSE;f.a.x 1 x 2 ml;Organon Arg.;50%;$ 6122.59
betametasona (acet.y fosf.disod);METAMAR RETARD;f.a.x 1 x 2 ml + jga.;Mar;50%;$ 4984.29
betametasona (acet.y fosf.disod);CRONODICASONE;f.a.x 1 x 2 ml + jga.;Baliarda;50%;$ 6145.58
betametasona (acet.y fosf.disod);DELTISONA RETARD;fco.a.x 1 x 2 ml+jeringa;Sanofi-Aventis;50%;$ 304.91
betametasona (acet.y fosf.disod);CORTEROID RETARD;iny.f.a.x 1 x 2 ml;Montpellier;50%;$ 6124.24
betametasona (acet.y fosf.disod);CORTICAS RETARD;iny.f.a.x 1 x 2 ml;Casasco;50%;$ 6230.43
betametasona (acet.y fosf.disod);CORTEROID RETARD;iny.f.a.x 1 x 5 ml;Montpellier;50%;$ 11647.18
betametasona (diprop.y f.disod.);DEPOCORT CRONO;f.a.x 1 x 2 ml;Roemmers;50%;$ 4668.25
betametasona (diprop.y f.disod.);CRONODICASONE DEPOT;f.a.x 1 x 2 ml + jga.;Baliarda;50%;$ 6407.91
betametasona (diprop.y f.disod.);CRONOLEVEL;f.a.x 2 ml;MSD Argentina S;50%;$ 692.83
betametasona (diprop.y f.disod.);CRONOCORTEROID;iny.a.x 1 x 2 ml;Montpellier;50%;$ 6309.78
betametasona (diprop.y f.disod.);CRONO CORTICAS;susp.iny.f.a.x 1 x 2 ml;Casasco;50%;$ 6322.03
betametasona (fosfato disódico);DICASONE;gts.x 30 ml;Baliarda;50%;$ 4314.9
betametasona+asoc.;CELESTAMINE PEDIATRICO;jbe.x 120 ml;MSD Argentina S;50%;$ 787.2
betametasona+gentamic.+miconazol;BETACORT PLUS CASSARA;cr.dérmica x 25 g;Cassarß;40%;$ 10116
betametasona+gentamic.+miconazol;VAGILEN DERMICO;cr.x 20 g;Biol;40%;$ 783.14
betametasona+gentamic.+miconazol;ADENIL;cr.x 20 g;Austral;40%;$ 5727.27
betametasona+gentamic.+miconazol;DERMOSONA FECOFAR;cr.x 20 g;Fecofar;40%;$ 6212.88
betametasona+gentamic.+miconazol;TRIPLEX;cr.x 20 g;Microsules Arg.;40%;$ 6551.81
betametasona+gentamic.+miconazol;DENVERCREM DENVER FARMA;cr.x 20 g;Denver Farma;40%;$ 7515.29
betametasona+gentamic.+miconazol;LAZAR CORT COMPLEX;cr.x 20 g;Lazar;40%;$ 7670.81
betametasona+gentamic.+miconazol;TRIBIOCORT;cr.x 20 g;Biosintex;40%;$ 7818
betametasona+gentamic.+miconazol;DEPOCORT BIOTIC;cr.x 20 g;Roemmers;40%;$ 7970.14
betametasona+gentamic.+miconazol;GENTASOL CREMA;cr.x 20 g;Monserrat;40%;$ 8532
betametasona+gentamic.+miconazol;HIFAMONIL CREMA;cr.x 20 g;Megalabs Argent;40%;$ 9242.42
betametasona+gentamic.+miconazol;CUTA;cr.x 20 g;Fortbenton;40%;$ 9321.76
betametasona+gentamic.+miconazol;DERMA 3;cr.x 20 g;Craveri;40%;$ 10979.78
betametasona+gentamic.+miconazol;MACRIL;cr.x 20 g;Andr¿maco;40%;$ 11608.94
betametasona+gentamic.+miconazol;FACTOR DERMICO;pomo x 10 g;Casasco;40%;$ 6700.45
betametasona+gentamic.+miconazol;FACTOR DERMICO;pomo x 20 g;Casasco;40%;$ 10219.01
betametasona+gentamicina;DEXALERGIN NF;cr.x 20 g;Teva Argentina;40%;$ 4751.83
betametasona+gentamicina;DIPROGENTA;cr.x 20 g;Organon Arg.;40%;$ 17571.93
betametasona+gentamicina;BACTICORT;cr.x 30 g;Montpellier;40%;$ 14320.46
betametasona+gentamicina+asoc.;QUADRIDERM;cr.x 10 g;Organon Arg.;40%;$ 9769.06
betametasona+gentamicina+asoc.;VITACORTIL;cr.x 20 g;Biosintex Retai;40%;$ 6336.6
betametasona+gentamicina+asoc.;BACTICORT COMPLEX;cr.x 20 g;Montpellier;40%;$ 9920.18
betametasona+gentamicina+asoc.;QUADRIDERM;cr.x 20 g;Organon Arg.;40%;$ 20905.28
betametasona+gentamicina+asoc.;BACTICORT COMPLEX;cr.x 30 g;Montpellier;40%;$ 14936.23
betametasona+neomicina;BETNOVATE N;cr.x 15 g;GlaxoSmithKline;40%;$ 10291.07
betametasona+neomicina;BETNOVATE N;cr.x 30 g;GlaxoSmithKline;40%;$ 16098.41
betametasona+salicílico,ác.;BETASALIC;loc.x 40 ml;Andr¿maco;40%;$ 11762.55
betametasona+salicílico,ác.;BETASALIC;ung.x 15 g;Andr¿maco;40%;$ 9881.5
betametasona+salicílico,ác.;MAXISALIC;ung.x 30 g;Siegfried;40%;$ 9779.08
betametasona+salicílico,ác.+asoc;SORSIS BETA;loc.x 60 ml c/bomb.pulv.;Fortbenton;40%;$ 7854.11
betanechol,cloruro;MIOTONACHOL;25 mg comp.x 100;Fortbenton;50%;$ 24312.9
betanechol,cloruro;MIOTONACHOL;25 mg comp.x 30;Fortbenton;50%;$ 11595.5
betanechol,cloruro;MIOTONACHOL;50 mg comp.x 100;Fortbenton;50%;$ 32827.76
betanechol,cloruro;MIOTONACHOL;50 mg comp.x 30;Fortbenton;50%;$ 18726.53
bezafibrato;BEZALIP RETARD;comp.rec.x 30;Teva Argentina;60%;$ 18973.97
bezafibrato;ELPI LIP;comp.x 30;Elea;60%;$ 11422.25
bezafibrato;BEZACUR;rtd.400 mg comp.x 30;Siegfried;60%;$ 10700.01
bimatoprost;LUMIGAN RC;0.01% fco.gotero x 3 ml;Abbvie;50%;$ 19357.36
bimatoprost;LUMIGAN;0.03% sol.oft.x 3 ml;Abbvie;50%;$ 17138.16
bimatoprost+timolol;GANFORT;sol.oft.x 3 ml;Abbvie;50%;$ 18956.04
bimatoprost+timolol;GANFORT UD;sol.oft.x 30 ds.x 0.4 ml;Abbvie;50%;$ 19610.92
biotina;BIOTIN-A;5 mg comp.x 30;Megalabs Argent;50%;$ 6607.39
biperideno;BIPERIDENO VANNIER;2 mg comp.x 20;Vannier;80%;$ 1247.35
biperideno;BIPERIDENO ROSPAW;2 mg comp.x 20;Rospaw;80%;$ 1385.28
biperideno;BIPERIDENO VANNIER;2 mg comp.x 60;Vannier;80%;$ 3430.23
biperideno;BIPERIDENO ROSPAW;2 mg comp.x 60;Rospaw;80%;$ 3586.23
biperideno;AKINETON;comp.x 20;Bag¿;80%;$ 1504.18
biperideno;AKINETON;comp.x 60;Bag¿;80%;$ 3892.83
bisacodilo;MODATON;5 mg comp.rec.x 20;Montpellier;50%;$ 2140.72
bisacodilo;MODATON;5 mg comp.rec.x 50;Montpellier;50%;$ 4052.79
bisacodilo+asoc.;EN-GA-LAX;grag.x 10;Omega;50%;$ 682.94
bisacodilo+asoc.;EN-GA-LAX;grag.x 6;Omega;50%;$ 443.21
bismuto,hidróxido+pectina;BISMUTO CHOBET CON PECTINA;comp.mast.x 20;Soubeiran Chobe;40%;$ 5833.95
bismuto,hidróxido+pectina;CREMA DE BISMUTO CHOBET CON PECTINA;susp.x 120 ml;Soubeiran Chobe;40%;$ 9931.94
bismuto,hidróxido+pectina;CREMA DE BISMUTO CHOBET CON PECTINA;susp.x 240 ml;Soubeiran Chobe;40%;$ 18904.6
bismuto,hidróxido+pectina;CREMA DE BISMUTO CHOBET CON PECTINA;susp.x 90ml c/dosif.fant;Soubeiran Chobe;40%;$ 7562.02
bisoprolol;BICARDIL;10 mg comp.rec.x 30;Baliarda;60%;$ 7386.34
bisoprolol;PROBLOCK;10 mg comp.rec.x 30;Eczane;60%;$ 7386.34
bisoprolol;BISOPIL;10 mg comp.rec.x 30;Gador;60%;$ 7539.42
bisoprolol;LOSTAPROLOL;10 mg comp.rec.x 30;Temis-Lostal¿;60%;$ 7837.12
bisoprolol;CORBIS;10 mg comp.rec.x 30;Roemmers;60%;$ 8206.71
bisoprolol;CORBIS;10 mg comp.rec.x 60;Roemmers;60%;$ 14772.77
bisoprolol;BISOFEC 10;10 mg comp.x 30;Fecofar;60%;$ 6726.47
bisoprolol;BISOPROLOL TEVA;10 mg comp.x 30;Teva Argentina;60%;$ 6924.73
bisoprolol;PROBLOCK;2.5 mg comp.rec.x 30;Eczane;60%;$ 2792.16
bisoprolol;BISOPIL;2.5 mg comp.rec.x 30;Gador;60%;$ 3048.82
bisoprolol;BICARDIL;2.5 mg comp.rec.x 30;Baliarda;60%;$ 3092.45
bisoprolol;LOSTAPROLOL;2.5 mg comp.rec.x 30;Temis-Lostal¿;60%;$ 3161.92
bisoprolol;CORBIS;2.5 mg comp.rec.x 30;Roemmers;60%;$ 3435.51
bisoprolol;CORBIS;2.5 mg comp.rec.x 60;Roemmers;60%;$ 6184.74
bisoprolol;BISOFEC 2.5;2.5 mg comp.x 30;Fecofar;60%;$ 2870.77
bisoprolol;PROBLOCK;5 mg comp.rec.x 30;Eczane;60%;$ 4937.26
bisoprolol;BICARDIL;5 mg comp.rec.x 30;Baliarda;60%;$ 5781.72
bisoprolol;BISOPIL;5 mg comp.rec.x 30;Gador;60%;$ 5906.29
bisoprolol;LOSTAPROLOL;5 mg comp.rec.x 30;Temis-Lostal¿;60%;$ 5996.6
bisoprolol;CORBIS;5 mg comp.rec.x 30;Roemmers;60%;$ 6426.8
bisoprolol;CORBIS;5 mg comp.rec.x 60;Roemmers;60%;$ 11568.8
bisoprolol;BISOFEC 5;5 mg comp.x 30;Fecofar;60%;$ 5254.03
bisoprolol;BISOPROLOL TEVA;5 mg comp.x 30;Teva Argentina;60%;$ 5414.93
bisoprolol+hidroclorotiazida;CORBIS D;5/12.5 mg comp.rec.x 60;Roemmers;50%;$ 16453.81
bisoprolol+hidroclorotiazida;LOSTAPROLOL DIUR 5/12.5;5/12.5 mg comp.x 30;Temis-Lostal¿;50%;$ 325.66
bisoprolol+hidroclorotiazida;CORBIS D;5/12.5 mg comp.x 30;Roemmers;50%;$ 9141
bisoprolol+hidroclorotiazida;BISOFEC D;comp.x 30;Fecofar;50%;$ 7827.93
brimonidina;BRIMOPRESS;0.2% sol.oft.x 5 ml;Poen;60%;$ 11120.62
brimonidina;ALPHAGAN;sol.oft.x 5 ml;Abbvie;60%;$ 10676.09
brimonidina;ALPHAGAN P;sol.oft.x 5 ml;Abbvie;60%;$ 12449.14
brimonidina+timolol;COMBIGAN;0.2%/0.5% gts.oft.x 5 ml;Abbvie;50%;$ 17065.13
brimonidina+timolol;TIMOBRIM;sol.oft.estéril x 5ml;Lab Internacion;50%;$ 12077.89
brimonidina+timolol;BRIT;sol.oft.x 5 ml;Max Vision;50%;$ 10170.5
brimonidina+timolol;BRIMOPRESS T;sol.oft.x 5 ml;Poen;50%;$ 14407.88
brinzolamida;AZOPT;1% susp.oft.x 5 ml;Novartis;60%;$ 11328.14
brinzolamida+timolol;AZARGA;fco.x 5 ml;Novartis;50%;$ 17416.15
bromazepam;OCTANYL 12;12 mg comp.x 50;Bag¿;50%;$ 1401.92
bromazepam;LEXOTANIL;3 mg comp.x 20;Biopas Argentin;50%;$ 198.56
bromazepam;NULASTRES;3 mg comp.x 20;Duncan;50%;$ 398.84
bromazepam;CREOSEDIN;3 mg comp.x 20;Rontag;50%;$ 1667
bromazepam;NEUROZEPAM;3 mg comp.x 30;Lafedar;50%;$ 2354.45
bromazepam;ESTOMINA;3 mg comp.x 30;Fabra;50%;$ 2573.55
bromazepam;ATEMPERATOR;3 mg comp.x 30;Teva Argentina;50%;$ 2674.55
bromazepam;LEXOTANIL;3 mg comp.x 30;Biopas Argentin;50%;$ 2944.76
bromazepam;LEXOTANIL;3 mg comp.x 50;Biopas Argentin;50%;$ 396.41
bromazepam;NULASTRES;3 mg comp.x 50;Duncan;50%;$ 817.83
bromazepam;CREOSEDIN;3 mg comp.x 50;Rontag;50%;$ 3145.49
bromazepam;OCTANYL 3;3 mg comp.x 50;Bag¿;50%;$ 5034.5
bromazepam;ATEMPERATOR;3 mg comp.x 60;Teva Argentina;50%;$ 3750.2
bromazepam;NULASTRES;6 mg comp.x 20;Duncan;50%;$ 512.85
bromazepam;CREOSEDIN;6 mg comp.x 20;Rontag;50%;$ 2537.12
bromazepam;ESTOMINA;6 mg comp.x 30;Fabra;50%;$ 4070.49
bromazepam;LEXOTANIL;6 mg comp.x 30;Biopas Argentin;50%;$ 4275.89
bromazepam;NEUROZEPAM;6 mg comp.x 30;Lafedar;50%;$ 4337.3
bromazepam;ATEMPERATOR;6 mg comp.x 30;Teva Argentina;50%;$ 4793.44
bromazepam;NULASTRES;6 mg comp.x 50;Duncan;50%;$ 1090.11
bromazepam;CREOSEDIN;6 mg comp.x 50;Rontag;50%;$ 8440.2
bromazepam;OCTANYL 6;6 mg comp.x 50;Bag¿;50%;$ 9365.69
bromazepam;LEXOTANIL;6 mg comp.x 50;Biopas Argentin;50%;$ 10098.85
bromazepam;ATEMPERATOR;6 mg comp.x 60;Teva Argentina;50%;$ 9004.52
bromfenac;NATAX;fco.gotero x 5 ml;Poen;50%;$ 11368.11
bromfenac;FENAC;sol.oft.estéril x 5 ml;Max Vision;50%;$ 7783.94
bromfenac;OFTALFENAC;sol.oft.x 5 ml;Denver Farma;50%;$ 7746.44
bromfenac;BERLOFEN;sol.oft.x 5 ml;Elea;50%;$ 8309.92
bromhexina+asoc.;DUFLEGRIP PLUS;comp.x 20;Fecofar;50%;$ 3198.17
budesonida+glicopirronio+formote;BREZTRI AEROSPHERE;aer.x 120 ds.+val.dos.;AstraZeneca;50%;$ 59476.41
budesonide;SPIROCORT TURBUHALER;100 mcg env.x 200 dosis;AstraZeneca;80%;$ 104.34
budesonide;BUDECORT ENEMA;2 mg enema x 7;Sanitas;80%;$ 16570.79
budesonide;NEUMOCORT HFA;200 mcg aer.x 200 dosis;Cassarß;80%;$ 2724.81
budesonide;SPIROCORT TURBUHALER;200 mcg env.x 200 dosis;AstraZeneca;80%;$ 5800.32
budesonide;NEUMOCORT + AEROMED;200 mcg hfa aer.x 200ds.;Cassarß;80%;$ 4030.39
budesonide;SPIROCORT TURBUHALER;400 mcg env.x 200 dosis;AstraZeneca;80%;$ 1566.22
budesonide;PULMOLISOFLAM C/AEROCAMARA;aer.x 100 dosis;Pfizer;80%;$ 108.23
budesonide;PULMOLISOFLAM PEDIATRICO C/OPTICHAMBER;aer.x 200 dosis;Pfizer;80%;$ 110.52
budesonide;AEROVIAL HFA;aer.x 200 ds.+adap.buc.;Lab Internacion;80%;$ 5248.49
budesonide;RINO-B 100;aerosol x 100 dosis;Elea;80%;$ 2368.7
budesonide;RINO-B 50;aerosol x 200 dosis;Elea;80%;$ 2178.69
budesonide;BUDESONIDA DF BRONQUIAL;aerosol x 200 dosis;Denver Farma;80%;$ 4329.32
budesonide;ENTOCORT;cáps.lib.contr.x 100;Eczane;50%;$ 145242.92
budesonide;BUDESONIDA DF NEBU;env.x 20 ml;Denver Farma;80%;$ 3515.67
budesonide;NEUMOTEX NEBU;env.x 20 ml;Elea;80%;$ 5430.9
budesonide;BUDENOFALK;espuma rectal x14 aplic.;LKM;50%;$ 104644.09
budesonide;AEROVIAL;fco.x 20 ml;Lab Internacion;80%;$ 153.63
budesonide;PROETZONIDE NEBU;fco.x 20 ml;Dallas;60%;$ 6746.04
budesonide;EXUDROL BUDE;sol.x 20 ml;Lafedar;80%;$ 4528.79
budesonide;BUDESON NEBU;sol.x 20 ml;Eurofarma;80%;$ 5337.59
budesonide;HYPERSOL B 100;spray nasal x 100 dosis;Cassarß;80%;$ 2115.9
budesonide;HYPERSOL B 50;spray nasal x 200 dosis;Cassarß;80%;$ 2035.09
budesonide+formoterol;SYMBICORT TURBUHALER;160/4.5 mcg dosis x 120;AstraZeneca;60%;$ 36349.63
budesonide+formoterol;SYMBICORT TURBUHALER;160/4.5 mcg dosis x 60;AstraZeneca;60%;$ 2665.19
budesonide+formoterol;FREVIA;160/4.5 mcg x 120 dosis;AstraZeneca;60%;$ 35661.63
budesonide+formoterol;NEUMOTEROL AEROSOL;160/4.5 x 120 dosis;Elea;60%;$ 32095.51
budesonide+formoterol;MAXIVENT;160/4.5mcg aer.inh.x120d;Lersan;60%;$ 29340.76
budesonide+formoterol;MAXIVENT;160/4.5mcg cáps.inh.x 60;Lersan;60%;$ 25104.34
budesonide+formoterol;MAXIVENT;160/4.5mcg cáps.inh.x120;Lersan;60%;$ 31298.8
budesonide+formoterol;LIERBRON;200 cáps.x 120+aplicador;Montpellier;60%;$ 23075.28
budesonide+formoterol;LIERBRON;200 cáps.x 60 +aplicador;Montpellier;60%;$ 27755.67
budesonide+formoterol;NEUMOCORT PLUS;200/6 mcg cáps.inh.x 60;Cassarß;60%;$ 16043.64
budesonide+formoterol;NEUMOCORT PLUS;200/6mcg aer.inh.x 60ds.;Cassarß;60%;$ 6228.58
budesonide+formoterol;NEUMOCORT PLUS;200/6mcg aer.inh.x150ds.;Cassarß;60%;$ 15209.72
budesonide+formoterol;SYMBICORT-FORTE TURBUHALER;320/9 mcg dosis x 60;AstraZeneca;60%;$ 36253.52
budesonide+formoterol;LIERBRON;400 cáps.x 60 +aplicador;Montpellier;60%;$ 30378.06
budesonide+formoterol;SYMBICORT-M TURBUHALER;80/4.5 mcg dosis x 120;AstraZeneca;60%;$ 26095.55
budesonide+formoterol;FREVIA;80/4.5 mcg x 120 dosis;AstraZeneca;60%;$ 28234.68
budesonide+formoterol;NEUMOTEROL AEROSOL;80/4.5 x 120 dosis;Elea;60%;$ 25411.09
budesonide+formoterol;NEUMOCORT PLUS;cáps.c/polvo x120+aplic.;Cassarß;60%;$ 24130.69
budesonide+formoterol;NEUMOCORT PLUS;cáps.c/polvo x60 +aplic.;Cassarß;60%;$ 16800.33
budesonide+formoterol;FORMOVENT + BUDE;cáps.p/inh. x120+aplic.;Lab Internacion;60%;$ 29009.14
budesonide+formoterol;FORMOVENT + BUDE;cáps.p/inhal.x 60+aplic.;Lab Internacion;60%;$ 318.2
budesonide+formoterol;FORMOVENT + BUDE;cáps.p/inhal.x120s/aplic;Lab Internacion;60%;$ 545.44
budesonide+formoterol;FORMOVENT + BUDE;cáps.p/inhal.x60 s/aplic;Lab Internacion;60%;$ 301.36
budesonide+formoterol;NEUMOTEROL 200;cáps.x 120 + aplic.;Elea;60%;$ 40738.54
budesonide+formoterol;NEUMOTEROL 200;cáps.x 120 s/aplicador;Elea;60%;$ 40364.08
budesonide+formoterol;NEUMOTEROL 200;cáps.x 60 + aplic.;Elea;60%;$ 29698.21
budesonide+formoterol;NEUMOTEROL 400;cáps.x 60 + aplic.;Elea;60%;$ 40689.02
budesonide+formoterol;NEUMOTEROL 200;cáps.x 60 s/aplicador;Elea;60%;$ 28021.56
buflomedil;BUFLOMEDIL LAFEDAR;iny.a.x 6;Lafedar;50%;$ 15471.18
buprenorfina;BUPRIVA;10 mg parche x 1;Adium;50%;$ 20784.15
buprenorfina;BUPRIVA;20 mg parche x 1;Adium;50%;$ 25222.99
buprenorfina;BIVALIS;20 mg parche x 4;Vannier-Grunent;50%;$ 52493.34
buprenorfina;BUPRIVA;5 mg parche x 1;Adium;50%;$ 16042.05
bupropión;WELLBUTRIN XL;150mg comp.lib.ext.x 30;GlaxoSmithKline;40%;$ 66652.82
bupropión;BUP;150mg comp.lib.prol.x 30;Eurofarma;40%;$ 40032.88
bupropión;ODRANAL;150mg comp.lib.prol.x 30;Adium;40%;$ 42639.49
bupropión;BUP;150mg comp.lib.prol.x 60;Eurofarma;40%;$ 74238.45
bupropión;ODRANAL;150mg comp.lib.prol.x 60;Adium;40%;$ 77409.55
bupropión;WELLBUTRIN XL;300mg comp.lib.ext.x 30;GlaxoSmithKline;40%;$ 110969.56
butamirato,citrato;DOSODOS;gts.x 15 ml;Beta;50%;$ 4921.37
butamirato,citrato;PROKING NF;jbe.x 120 ml;Cetus;50%;$ 7268.27
butamirato,citrato;TALASA NF;jbe.x 120 ml;Andr¿maco;50%;$ 7399.77
butamirato,citrato;DOSODOS;jbe.x 150 ml;Beta;50%;$ 12464.77
butetamato;HELIPHENICOL;susp.x 120 ml;Ariston;50%;$ 4634.91
butimerina+asoc.;BUTIMERIN;pvo.x 20 g;Ariston;50%;$ 6829.52
cabergolina;DOSTINEX;0.5 mg comp.x 2;Pfizer;80%;$ 2395.49
cabergolina;LACTAMAX;0.5 mg comp.x 2;Beta;80%;$ 3202.56
cabergolina;DOSTINEX;0.5 mg comp.x 8;Pfizer;80%;$ 8718.91
cabergolina;LACTAMAX;0.5 mg comp.x 8;Beta;80%;$ 10135.18
cabergolina;CABERPAR;1 mg comp.x 10;Rontag;80%;$ 5559.93
cabergolina;CABASER;1 mg comp.x 30;Pfizer;80%;$ 10153.38
cabergolina;CABASER;2 mg comp.x 30;Pfizer;80%;$ 715.24
cabergolina;CABERPAR;2 mg comp.x 30;Rontag;80%;$ 15859.01
calcio;CALCIO BASE DUPOMAR FORTE;1 g comp.mast.x 60;Siegfried;40%;$ 3248
calcio;CALCIO ACIDO;500 mg comp.mast.x 60;Biotenk;40%;$ 421.2
calcio,acetato;ROYEN;500 mg cáps.x 120;Ariston;40%;$ 202461
calcio,carbonato;CALCIO BASE VANNIER;1.250 mg comp.mast.x 60;Vannier;60%;$ 6230.34
calcio,carbonato;CALCIO BASE DUPOMAR;comp.x 30;Siegfried;60%;$ 4351.69
calcio,carbonato;CALCIO BASE DUPOMAR;comp.x 60;Siegfried;60%;$ 7513.96
calcio,carbonato;CALCIONAL;naranja comp.x 60;Ariston;60%;$ 6569.56
calcio,carbonato+asoc.;CALCIUM SANDOZ 1000 MG;comp.efer.x 30;Novartis-Sandoz;60%;$ 2173.01
calcio,carbonato+vit.d3;TAXUS 400;400 mg comp.mast.x 30;Beta;40%;$ 5385.61
calcio,carbonato+vit.d3;SIMPLE VITACAL;caram. mast. x 60;Bag¿-Arcor;40%;$ 14578.7
calcio,carbonato+vit.d3;CALCIO BASE DUPOMAR D;comp.x 30;Siegfried;40%;$ 5872.8
calcio,carbonato+vit.d3;CALCIO BASE DUPOMAR D3 200;comp.x 30;Siegfried;40%;$ 6020.34
calcio,carbonato+vit.d3;CALCIO BASE DUPOMAR D3 400;comp.x 30;Siegfried;40%;$ 7413.86
calcio,carbonato+vit.d3;CALCIO BASE DUPOMAR D3 200;comp.x 60;Siegfried;40%;$ 9693.83
calcio,carbonato+vit.d3;CALCIO BASE DUPOMAR D;comp.x 60;Siegfried;40%;$ 9904.48
calcio,carbonato+vit.d3;CALCIO BASE DUPOMAR D3 400;comp.x 60;Siegfried;40%;$ 11056.75
calcio,citrato;CALCIONAL CITRATO;500 mg nja.comp.mast.x30;Ariston;60%;$ 3537.21
calcio,citrato;CALCIONAL CITRATO;500 mg nja.comp.mast.x60;Ariston;60%;$ 6516.64
calcio,citrato;CALCIMAX;comp.rec.x 60;Gador;60%;$ 4612.67
calcio,citrato;CALCIMAX FORTE;comp.x 30;Gador;60%;$ 3300.14
calcio,citrato+vit.d3;CALCIO CITRATO DUPOMAR D3 200;comp.mast.x 30;Siegfried;40%;$ 5471.65
calcio,citrato+vit.d3;CALCIO CITRATO DUPOMAR D3 400;comp.mast.x 30;Siegfried;40%;$ 6502.35
calcio,citrato+vit.d3;CALCIO CITRATO DUPOMAR D3 200;comp.mast.x 60;Siegfried;40%;$ 10196.36
calcio,citrato+vit.d3;CALCIO CITRATO DUPOMAR D3 400;comp.mast.x 60;Siegfried;40%;$ 11083.9
calcio,citrato+vit.d3;CALCIOCIT PLUS;comp.ran.x 30;Trb-Pharma;40%;$ 5752.79
calcio,citrato+vit.d3;CALCIOCIT PLUS;comp.ran.x 60;Trb-Pharma;40%;$ 10342.8
calcio,citrato+vit.d3;CALCIMAX D3;comp.rec.x 60;Gador;40%;$ 10003.99
calcio,citrato+vit.d3;CALCIOCIT;comp.x 30;Trb-Pharma;40%;$ 5263.21
calcio,citrato+vit.d3;CALCIONAL D3;comp.x 30;Ariston;40%;$ 5571.8
calcio,citrato+vit.d3;CALCIONAL D3 400;comp.x 30;Ariston;40%;$ 6478.36
calcio,citrato+vit.d3;CALCIMAX D3 400;comp.x 30;Gador;40%;$ 7340.06
calcio,citrato+vit.d3;CALCIOCIT;comp.x 60;Trb-Pharma;40%;$ 9179.99
calcio,citrato+vit.d3;CALCIONAL D3;comp.x 60;Ariston;40%;$ 10008.22
calcio,citrato+vit.d3;CALCIMAX D3 400;comp.x 60;Gador;40%;$ 10996.26
calcio,citrato+vit.d3;CALCIONAL D3 400;comp.x 60;Ariston;40%;$ 11666.06
calcio,lactogluconato+calcio,car;CALCIO BASE EFERVESCENTE;comp.eferv.x 30;Siegfried;40%;$ 7566.18
calcipotriol;CUTANIT LOCION;env.x 20 ml;Lazar;50%;$ 12105.13
calcipotriol;CUTANIT;ung.x 30 g;Lazar;50%;$ 12363.9
calcipotriol+betametasona,diprop;CUTANIT B;ung. x 30 g;Lazar;40%;$ 23293.35
calcipotriol+betametasona,diprop;CALCI CORTICAS;ung.x 30 g;Casasco;40%;$ 23636.02
calcitonina;CALCITONINA SANDOZ;100 UI a.x 5;Novartis;50%;$ 608.69
calcitonina;CALCITONINA SANDOZ NASAL;100 UI spray x 2-28 ds.;Novartis;50%;$ 1080.94
calcitonina;CALCITONINA SANDOZ MINOR;50 UI a.x 5;Novartis;50%;$ 270.32
calcitriol;CALCITRIOL;0.25 mcg cáps.x 30;Siegfried;60%;$ 7892.73
calcitriol;CALCIRAQUIFEROL;cáps.blandas x 30;Roemmers;60%;$ 6265.46
calcitriol;CALCITRIOL MEGALABS;cáps.x 30;Megalabs Argent;60%;$ 6799.34
camilofina+dipirona;APASMO;gts.x 20 ml;Laboratorio Mil;50%;$ 5630.15
candesartán cilexetil;ATACAND;16 mg comp.divis.x 28;Biopas Argentin;60%;$ 26787.78
candesartán cilexetil;DACTEN;16 mg comp.x 15;Elea;60%;$ 13988.55
candesartán cilexetil;CANDESARTAN RICHET;16 mg comp.x 30;Richet;60%;$ 22715.37
candesartán cilexetil;TIADYL;16 mg comp.x 30;Abbott EPD;60%;$ 23262.63
candesartán cilexetil;DACTEN;16 mg comp.x 30;Elea;60%;$ 28958.27
candesartán cilexetil;ATACAND;32 mg comp.divis.x 28;Biopas Argentin;60%;$ 41395.12
candesartán cilexetil;ATACAND;8 mg comp.divis.x 28;Biopas Argentin;60%;$ 19463.22
candesartán cilexetil;DACTEN;8 mg comp.x 15;Elea;60%;$ 9619.59
candesartán cilexetil;CANDESARTAN RICHET;8 mg comp.x 30;Richet;60%;$ 15146.02
candesartán cilexetil;TIADYL;8 mg comp.x 30;Abbott EPD;60%;$ 15510.74
candesartán cilexetil;DACTEN;8 mg comp.x 30;Elea;60%;$ 19416.64
candesartán cilexetil+felodipina;ATACAND DUO;16mg/2.5mg comp.x 60;AstraZeneca;50%;$ 27344.97
candesartán cilexetil+felodipina;ATACAND DUO;16mg/5mg comp.x 60;AstraZeneca;50%;$ 27344.97
candesartán cilexetil+felodipina;ATACAND DUO;8mg/2.5mg comp.x 60;AstraZeneca;50%;$ 616.47
candesartán cilexetil+felodipina;ATACAND DUO;8mg/5mg comp.x 60;AstraZeneca;50%;$ 399.41
candesartán+hidroclorotiazida;ATACAND D;16 mg comp.divis.x 15;AstraZeneca;50%;$ 540.65
candesartán+hidroclorotiazida;ATACAND D;16 mg comp.divis.x 28;Biopas Argentin;50%;$ 33472.87
